Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
10-Open Video Conference,Chrome 113.0.0.0,,,2023-05-10 12:04:15,2023-05-10 12:09:03,4m - 47.976s,PASSED
,,,,,,,
Test Cases/10-Open Video Conference/01-Blank Fields,Chrome 113.0.0.0,,,2023-05-10 12:04:16,2023-05-10 12:07:15,2m - 59.420s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-10 12:04:16,2023-05-10 12:04:23,7.179s,PASSED
navigateToUrl(appURL),Chrome 113.0.0.0,,,2023-05-10 12:04:23,2023-05-10 12:04:48,24.390s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-10 12:04:48,2023-05-10 12:04:48,0.420s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-10 12:04:48,2023-05-10 12:05:51,1m - 2.695s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 113.0.0.0,,,2023-05-10 12:05:51,2023-05-10 12:05:54,2.837s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 113.0.0.0,,,2023-05-10 12:05:54,2023-05-10 12:05:55,0.970s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-10 12:05:55,2023-05-10 12:05:56,1.177s,PASSED
delay(delay_4seconds),Chrome 113.0.0.0,,,2023-05-10 12:05:56,2023-05-10 12:06:00,4.021s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-10 12:06:00,2023-05-10 12:06:00,0.521s,PASSED
delay(delay_5seconds),Chrome 113.0.0.0,,,2023-05-10 12:06:00,2023-05-10 12:06:05,5.019s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Open Video Conference""))",Chrome 113.0.0.0,,,2023-05-10 12:06:05,2023-05-10 12:06:06,0.801s,PASSED
"verifyElementVisible(findTestObject(""10-Open Video Conference/h4_OPEN VIDEO CONFERENCE""))",Chrome 113.0.0.0,,,2023-05-10 12:06:06,2023-05-10 12:06:08,1.254s,PASSED
"verifyElementVisible(findTestObject(""10-Open Video Conference/span_warning""))",Chrome 113.0.0.0,,,2023-05-10 12:06:08,2023-05-10 12:06:08,0.554s,PASSED
"click(findTestObject(""10-Open Video Conference/a_chat""))",Chrome 113.0.0.0,,,2023-05-10 12:06:08,2023-05-10 12:06:11,2.458s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-10 12:06:11,2023-05-10 12:06:14,3.015s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Open Video Conference""))",Chrome 113.0.0.0,,,2023-05-10 12:06:14,2023-05-10 12:06:45,31.534s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-10 12:06:45,2023-05-10 12:06:48,3.020s,PASSED
"verifyElementVisible(findTestObject(""10-Open Video Conference/h5_Meeting Title""))",Chrome 113.0.0.0,,,2023-05-10 12:06:48,2023-05-10 12:06:49,1.007s,PASSED
"click(findTestObject(""10-Open Video Conference/input_Meeting Title""))",Chrome 113.0.0.0,,,2023-05-10 12:06:49,2023-05-10 12:06:50,0.526s,PASSED
"click(findTestObject(""10-Open Video Conference/div_Now""))",Chrome 113.0.0.0,,,2023-05-10 12:06:50,2023-05-10 12:06:50,0.556s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-10 12:06:50,2023-05-10 12:06:53,3.014s,PASSED
"verifyElementVisible(findTestObject(""10-Open Video Conference/h5_Current Contacts""))",Chrome 113.0.0.0,,,2023-05-10 12:06:53,2023-05-10 12:06:54,0.468s,PASSED
"click(findTestObject(""10-Open Video Conference/input_Current Contacts_inputSearchContacts""))",Chrome 113.0.0.0,,,2023-05-10 12:06:54,2023-05-10 12:06:54,0.555s,PASSED
"click(findTestObject(""10-Open Video Conference/div_Now""))",Chrome 113.0.0.0,,,2023-05-10 12:06:54,2023-05-10 12:06:55,0.620s,PASSED
