Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""12-EL Sign/span_ELSign Tracking Id""))",Chrome 113.0.0.0,,,2023-05-19 14:46:20,2023-05-19 14:46:20,0.553s,PASSED
"click(findTestObject(""12-EL Sign/span_Document Name""))",Chrome 113.0.0.0,,,2023-05-19 14:46:20,2023-05-19 14:46:21,0.952s,PASSED
"click(findTestObject(""12-EL Sign/span_Status""))",Chrome 113.0.0.0,,,2023-05-19 14:46:21,2023-05-19 14:46:22,0.985s,PASSED
"click(findTestObject(""12-EL Sign/span_Signer Status""))",Chrome 113.0.0.0,,,2023-05-19 14:46:22,2023-05-19 14:46:23,0.999s,PASSED
"click(findTestObject(""12-EL Sign/span_View""))",Chrome 113.0.0.0,,,2023-05-19 14:46:23,2023-05-19 14:46:25,1.282s,PASSED
"click(findTestObject(""12-EL Sign/span_Certificate""))",Chrome 113.0.0.0,,,2023-05-19 14:46:25,2023-05-19 14:46:26,0.979s,PASSED
"click(findTestObject(""12-EL Sign/span_Delete""))",Chrome 113.0.0.0,,,2023-05-19 14:46:26,2023-05-19 14:46:26,0.939s,PASSED
"click(findTestObject(""12-EL Sign/span_History""))",Chrome 113.0.0.0,,,2023-05-19 14:46:26,2023-05-19 14:46:27,0.960s,PASSED
"click(findTestObject(""12-EL Sign/span_Reminder""))",Chrome 113.0.0.0,,,2023-05-19 14:46:27,2023-05-19 14:46:28,0.962s,PASSED
"click(findTestObject(""12-EL Sign/span_Last Modified""))",Chrome 113.0.0.0,,,2023-05-19 14:46:28,2023-05-19 14:46:29,0.966s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:46:29,2023-05-19 14:46:32,3.011s,PASSED
"click(findTestObject(""12-EL Sign/span_ELSign Tracking Id""))",Chrome 113.0.0.0,,,2023-05-19 14:46:32,2023-05-19 14:46:33,0.511s,PASSED
"click(findTestObject(""12-EL Sign/span_Document Name""))",Chrome 113.0.0.0,,,2023-05-19 14:46:33,2023-05-19 14:46:34,1.248s,PASSED
"click(findTestObject(""12-EL Sign/span_Status""))",Chrome 113.0.0.0,,,2023-05-19 14:46:34,2023-05-19 14:46:35,0.988s,PASSED
"click(findTestObject(""12-EL Sign/span_Signer Status""))",Chrome 113.0.0.0,,,2023-05-19 14:46:35,2023-05-19 14:46:36,0.894s,PASSED
"click(findTestObject(""12-EL Sign/span_View""))",Chrome 113.0.0.0,,,2023-05-19 14:46:36,2023-05-19 14:46:37,0.894s,PASSED
"click(findTestObject(""12-EL Sign/span_Download""))",Chrome 113.0.0.0,,,2023-05-19 14:46:37,2023-05-19 14:46:38,0.948s,PASSED
"click(findTestObject(""12-EL Sign/span_Certificate""))",Chrome 113.0.0.0,,,2023-05-19 14:46:38,2023-05-19 14:46:39,0.882s,PASSED
"click(findTestObject(""12-EL Sign/span_Delete""))",Chrome 113.0.0.0,,,2023-05-19 14:46:39,2023-05-19 14:46:40,0.919s,PASSED
