Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
10-Open Video Conference,Chrome 114.0.0.0,,,2023-06-30 15:48:29,2023-06-30 15:52:39,4m - 9.338s,PASSED
,,,,,,,
Test Cases/10-Open Video Conference/01-Blank Fields,Chrome 114.0.0.0,,,2023-06-30 15:48:30,2023-06-30 15:50:53,2m - 23.283s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-30 15:48:31,2023-06-30 15:48:37,6.176s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-06-30 15:48:37,2023-06-30 15:48:51,13.759s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-30 15:48:51,2023-06-30 15:48:51,0.184s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-30 15:48:51,2023-06-30 15:49:43,52.546s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 114.0.0.0,,,2023-06-30 15:49:43,2023-06-30 15:49:48,4.287s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 114.0.0.0,,,2023-06-30 15:49:48,2023-06-30 15:49:49,1.003s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 114.0.0.0,,,2023-06-30 15:49:49,2023-06-30 15:49:50,1.174s,PASSED
delay(delay_4seconds),Chrome 114.0.0.0,,,2023-06-30 15:49:50,2023-06-30 15:49:54,4.017s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 114.0.0.0,,,2023-06-30 15:49:54,2023-06-30 15:49:54,0.500s,PASSED
delay(delay_5seconds),Chrome 114.0.0.0,,,2023-06-30 15:49:54,2023-06-30 15:49:59,5.013s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Open Video Conference""))",Chrome 114.0.0.0,,,2023-06-30 15:49:59,2023-06-30 15:50:00,0.742s,PASSED
"verifyElementVisible(findTestObject(""10-Open Video Conference/h4_OPEN VIDEO CONFERENCE""))",Chrome 114.0.0.0,,,2023-06-30 15:50:00,2023-06-30 15:50:01,1.065s,PASSED
"verifyElementVisible(findTestObject(""10-Open Video Conference/span_warning""))",Chrome 114.0.0.0,,,2023-06-30 15:50:01,2023-06-30 15:50:01,0.401s,PASSED
