Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
07-Directory,Chrome 113.0.0.0,,,2023-05-23 11:44:55,2023-05-23 11:50:44,5m - 49.471s,PASSED
,,,,,,,
Test Cases/07-Directory/01 -Connections - Add New Contact (required field is blank),Chrome 113.0.0.0,,,2023-05-23 11:44:55,2023-05-23 11:47:07,2m - 11.891s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 11:44:56,2023-05-23 11:45:03,7.025s,PASSED
navigateToUrl(appURL),Chrome 113.0.0.0,,,2023-05-23 11:45:03,2023-05-23 11:45:21,17.979s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 11:45:21,2023-05-23 11:45:22,0.623s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-23 11:45:22,2023-05-23 11:46:27,1m - 4.789s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Directory""))",Chrome 113.0.0.0,,,2023-05-23 11:46:27,2023-05-23 11:46:29,2.073s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-23 11:46:29,2023-05-23 11:46:32,3.017s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/div_Connections""))",Chrome 113.0.0.0,,,2023-05-23 11:46:32,2023-05-23 11:46:33,0.872s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/div_Labels""))",Chrome 113.0.0.0,,,2023-05-23 11:46:33,2023-05-23 11:46:33,0.490s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-23 11:46:33,2023-05-23 11:46:36,3.009s,PASSED
"click(findTestObject(""07-Directory/Connections/div_Connections""))",Chrome 113.0.0.0,,,2023-05-23 11:46:36,2023-05-23 11:46:37,0.784s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-23 11:46:37,2023-05-23 11:46:40,3.019s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/h4_CONNECTIONS""))",Chrome 113.0.0.0,,,2023-05-23 11:46:40,2023-05-23 11:46:40,0.471s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/h5_Save your contacts here and throw your business cards away""))",Chrome 113.0.0.0,,,2023-05-23 11:46:40,2023-05-23 11:46:41,0.456s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/button_search""))",Chrome 113.0.0.0,,,2023-05-23 11:46:41,2023-05-23 11:46:42,1.680s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/button_add new contact""))",Chrome 113.0.0.0,,,2023-05-23 11:46:42,2023-05-23 11:46:43,0.701s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/button_Filter""))",Chrome 113.0.0.0,,,2023-05-23 11:46:43,2023-05-23 11:46:44,0.450s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-23 11:46:44,2023-05-23 11:46:47,3.537s,PASSED
"click(findTestObject(""07-Directory/Connections/button_add new contact""))",Chrome 113.0.0.0,,,2023-05-23 11:46:47,2023-05-23 11:46:48,1.265s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-23 11:46:48,2023-05-23 11:46:51,3.017s,PASSED
"click(findTestObject(""07-Directory/Connections/input_Type_email""))",Chrome 113.0.0.0,,,2023-05-23 11:46:51,2023-05-23 11:46:53,1.622s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/Add new contact modal""))",Chrome 113.0.0.0,,,2023-05-23 11:46:53,2023-05-23 11:46:54,0.544s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-23 11:46:54,2023-05-23 11:46:57,3.021s,PASSED
"click(findTestObject(""07-Directory/Connections/input_firstName""))",Chrome 113.0.0.0,,,2023-05-23 11:46:57,2023-05-23 11:46:57,0.903s,PASSED
