Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/02-Side Icons (Organization)/03-(Client Assignment),Chrome 113.0.0.0,Navigates on Client Assignment Page and verifies the elements.,,2023-05-05 10:11:44,2023-05-05 10:11:55,11.206s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:45,2023-05-05 10:11:47,2.016s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Client Assignment/button_Client assignment""))",Chrome 113.0.0.0,,,2023-05-05 10:11:47,2023-05-05 10:11:47,0.604s,PASSED
"clickOffset(findTestObject(""02-Side Icons(Organization)/Client Assignment/h4_CLIENT ASSIGNMENT""), 50, 50)",Chrome 113.0.0.0,,,2023-05-05 10:11:47,2023-05-05 10:11:48,1.098s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:48,2023-05-05 10:11:51,3.009s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Client Assignment/h4_CLIENT ASSIGNMENT""))",Chrome 113.0.0.0,,,2023-05-05 10:11:51,2023-05-05 10:11:52,0.386s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Client Assignment/div_By Employee""))",Chrome 113.0.0.0,,,2023-05-05 10:11:52,2023-05-05 10:11:52,0.389s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Client Assignment/div_By Client""))",Chrome 113.0.0.0,,,2023-05-05 10:11:52,2023-05-05 10:11:52,0.388s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:52,2023-05-05 10:11:55,3.017s,PASSED
,,,,,,,
Test Cases/02-Side Icons (Organization)/04-(Hide Quick Shortcuts),Chrome 113.0.0.0,Click Quick Shortcut and verify the buttons,,2023-05-05 10:11:55,2023-05-05 10:13:42,1m - 46.739s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:56,2023-05-05 10:11:58,2.019s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Hide Quick Shortcuts/button_hide quick shortcuts""))",Chrome 113.0.0.0,,,2023-05-05 10:11:58,2023-05-05 10:11:58,0.538s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:58,2023-05-05 10:12:01,3.017s,PASSED
"verifyElementNotPresent(findTestObject(""02-Side Icons(Organization)/2FA/button_2FA""), 0)",Chrome 113.0.0.0,,,2023-05-05 10:12:01,2023-05-05 10:12:33,31.301s,PASSED
"verifyElementNotPresent(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""), 0)",Chrome 113.0.0.0,,,2023-05-05 10:12:33,2023-05-05 10:13:04,31.165s,PASSED
"verifyElementNotPresent(findTestObject(""02-Side Icons(Organization)/Client Assignment/button_Client assignment""), 0)",Chrome 113.0.0.0,,,2023-05-05 10:13:04,2023-05-05 10:13:35,31.202s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-05 10:13:35,2023-05-05 10:13:38,3.015s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Hide Quick Shortcuts/button_Show quick shortcuts""))",Chrome 113.0.0.0,,,2023-05-05 10:13:38,2023-05-05 10:13:39,0.540s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/2FA/button_2FA""))",Chrome 113.0.0.0,,,2023-05-05 10:13:39,2023-05-05 10:13:39,0.489s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""))",Chrome 113.0.0.0,,,2023-05-05 10:13:39,2023-05-05 10:13:39,0.377s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Client Assignment/button_Client assignment""))",Chrome 113.0.0.0,,,2023-05-05 10:13:39,2023-05-05 10:13:40,0.361s,PASSED
delay(delay_1second),Chrome 113.0.0.0,,,2023-05-05 10:13:40,2023-05-05 10:13:41,1.005s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-05 10:13:41,2023-05-05 10:13:42,1.373s,PASSED
