Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""12-EL Sign/span_Document Name""))",Chrome 109.0.0.0,,,2023-01-17 17:31:43,2023-01-17 17:31:44,1.137s,PASSED
"click(findTestObject(""12-EL Sign/span_Status""))",Chrome 109.0.0.0,,,2023-01-17 17:31:44,2023-01-17 17:31:45,1.125s,PASSED
"click(findTestObject(""12-EL Sign/span_Signer Status""))",Chrome 109.0.0.0,,,2023-01-17 17:31:45,2023-01-17 17:31:46,1.224s,PASSED
"click(findTestObject(""12-EL Sign/span_View""))",Chrome 109.0.0.0,,,2023-01-17 17:31:46,2023-01-17 17:31:47,1.181s,PASSED
"click(findTestObject(""12-EL Sign/span_Certificate""))",Chrome 109.0.0.0,,,2023-01-17 17:31:47,2023-01-17 17:31:48,1.222s,PASSED
"click(findTestObject(""12-EL Sign/span_Delete""))",Chrome 109.0.0.0,,,2023-01-17 17:31:48,2023-01-17 17:31:50,1.221s,PASSED
"click(findTestObject(""12-EL Sign/span_History""))",Chrome 109.0.0.0,,,2023-01-17 17:31:50,2023-01-17 17:31:51,1.340s,PASSED
"click(findTestObject(""12-EL Sign/span_Reminder""))",Chrome 109.0.0.0,,,2023-01-17 17:31:51,2023-01-17 17:31:52,1.253s,PASSED
"click(findTestObject(""12-EL Sign/span_Last Modified""))",Chrome 109.0.0.0,,,2023-01-17 17:31:52,2023-01-17 17:31:53,1.184s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:31:53,2023-01-17 17:31:57,3.016s,PASSED
"click(findTestObject(""12-EL Sign/span_ELSign Tracking Id""))",Chrome 109.0.0.0,,,2023-01-17 17:31:57,2023-01-17 17:31:57,0.916s,PASSED
"click(findTestObject(""12-EL Sign/span_Document Name""))",Chrome 109.0.0.0,,,2023-01-17 17:31:57,2023-01-17 17:31:58,1.042s,PASSED
"click(findTestObject(""12-EL Sign/span_Status""))",Chrome 109.0.0.0,,,2023-01-17 17:31:58,2023-01-17 17:32:00,1.146s,PASSED
"click(findTestObject(""12-EL Sign/span_Signer Status""))",Chrome 109.0.0.0,,,2023-01-17 17:32:00,2023-01-17 17:32:01,1.141s,PASSED
"click(findTestObject(""12-EL Sign/span_View""))",Chrome 109.0.0.0,,,2023-01-17 17:32:01,2023-01-17 17:32:02,1.201s,PASSED
"click(findTestObject(""12-EL Sign/span_Download""))",Chrome 109.0.0.0,,,2023-01-17 17:32:02,2023-01-17 17:32:03,1.465s,PASSED
"click(findTestObject(""12-EL Sign/span_Certificate""))",Chrome 109.0.0.0,,,2023-01-17 17:32:03,2023-01-17 17:32:05,1.167s,PASSED
"click(findTestObject(""12-EL Sign/span_Delete""))",Chrome 109.0.0.0,,,2023-01-17 17:32:05,2023-01-17 17:32:06,1.189s,PASSED
"click(findTestObject(""12-EL Sign/span_History""))",Chrome 109.0.0.0,,,2023-01-17 17:32:06,2023-01-17 17:32:07,1.136s,PASSED
"click(findTestObject(""12-EL Sign/span_Reminder""))",Chrome 109.0.0.0,,,2023-01-17 17:32:07,2023-01-17 17:32:08,1.182s,PASSED
"click(findTestObject(""12-EL Sign/span_Last Modified""))",Chrome 109.0.0.0,,,2023-01-17 17:32:08,2023-01-17 17:32:09,1.123s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:32:09,2023-01-17 17:32:12,3.018s,PASSED
"click(findTestObject(""12-EL Sign/button_CLOSE""))",Chrome 109.0.0.0,,,2023-01-17 17:32:12,2023-01-17 17:32:13,0.816s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:32:13,2023-01-17 17:32:16,3.019s,PASSED
"click(findTestObject(""12-EL Sign/mat-icon_exportCSV""))",Chrome 109.0.0.0,,,2023-01-17 17:32:16,2023-01-17 17:32:17,0.848s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:32:17,2023-01-17 17:32:20,3.018s,PASSED
"click(findTestObject(""12-EL Sign/mat-icon_expandAll""))",Chrome 109.0.0.0,,,2023-01-17 17:32:20,2023-01-17 17:32:22,1.839s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:32:22,2023-01-17 17:32:25,3.014s,PASSED
"click(findTestObject(""12-EL Sign/mat-icon_refit""))",Chrome 109.0.0.0,,,2023-01-17 17:32:25,2023-01-17 17:32:26,0.865s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:32:26,2023-01-17 17:32:29,3.007s,PASSED
,,,,,,,
Test Cases/12-EL Sign/04-Send Documents (Add Signer and guest- required field is blank),Chrome 109.0.0.0,,,2023-01-17 17:32:29,2023-01-17 17:33:02,33.417s,PASSED
"click(findTestObject(""12-EL Sign/div_ELSignTrackID""))",Chrome 109.0.0.0,,,2023-01-17 17:32:31,2023-01-17 17:32:32,1.343s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:32:32,2023-01-17 17:32:35,3.013s,PASSED
"click(findTestObject(""12-EL Sign/span_COMPLETE""))",Chrome 109.0.0.0,,,2023-01-17 17:32:35,2023-01-17 17:32:36,0.870s,PASSED
"verifyElementVisible(findTestObject(""12-EL Sign/snack-bar-container_Please add signer and field""))",Chrome 109.0.0.0,,,2023-01-17 17:32:36,2023-01-17 17:32:37,0.869s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:32:37,2023-01-17 17:32:40,3.019s,PASSED
"click(findTestObject(""12-EL Sign/button_personADD SIGNER  FIELD""))",Chrome 109.0.0.0,,,2023-01-17 17:32:40,2023-01-17 17:32:41,1.443s,PASSED
"verifyElementVisible(findTestObject(""12-EL Sign/mat-dialog-container_AddSignerModal""))",Chrome 109.0.0.0,,,2023-01-17 17:32:41,2023-01-17 17:32:43,1.567s,PASSED
"click(findTestObject(""12-EL Sign/input_Search for a Signer""))",Chrome 109.0.0.0,,,2023-01-17 17:32:43,2023-01-17 17:32:43,0.812s,PASSED
"sendKeys(findTestObject(""12-EL Sign/input_Search for a Signer""), Keys.chord(ESCAPE))",Chrome 109.0.0.0,,,2023-01-17 17:32:43,2023-01-17 17:32:44,0.781s,PASSED
"click(findTestObject(""12-EL Sign/input_Receiver email address""))",Chrome 109.0.0.0,,,2023-01-17 17:32:44,2023-01-17 17:32:45,0.806s,PASSED
"clickOffset(findTestObject(""12-EL Sign/input_Receiver email address""), 100, 100)",Chrome 109.0.0.0,,,2023-01-17 17:32:45,2023-01-17 17:32:46,0.862s,PASSED
"verifyElementVisible(findTestObject(""12-EL Sign/mat-error_Signer name is required""))",Chrome 109.0.0.0,,,2023-01-17 17:32:46,2023-01-17 17:32:47,0.846s,PASSED
