Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/11.2 - Cloud Files (Shared Drive)/05-Download a file and folder,Chrome 113.0.0.0,,,2023-05-12 18:33:15,2023-05-12 18:33:18,3.641s,FAILED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:15,2023-05-12 18:33:18,3.012s,PASSED
"rightClick(findTestObject(""11-Cloud Files/td_qa EDIT""))",Chrome 113.0.0.0,,,2023-05-12 18:33:18,2023-05-12 18:33:18,0.088s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/06-Duplicate a Folder (Negative scenario),Chrome 113.0.0.0,,,2023-05-12 18:33:18,2023-05-12 18:33:22,3.458s,FAILED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:19,2023-05-12 18:33:22,3.014s,PASSED
"click(findTestObject(""11-Cloud Files/td_Automation folder EDIT""))",Chrome 113.0.0.0,,,2023-05-12 18:33:22,2023-05-12 18:33:22,0.119s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/07-Duplicate a file,Chrome 113.0.0.0,,,2023-05-12 18:33:22,2023-05-12 18:33:25,3.470s,FAILED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:22,2023-05-12 18:33:25,3.019s,PASSED
"click(findTestObject(""11-Cloud Files/td_qa EDIT""))",Chrome 113.0.0.0,,,2023-05-12 18:33:25,2023-05-12 18:33:25,0.124s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/08-Move a file and folder,Chrome 113.0.0.0,,,2023-05-12 18:33:25,2023-05-12 18:33:29,3.759s,FAILED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:26,2023-05-12 18:33:29,3.013s,PASSED
"rightClick(findTestObject(""11-Cloud Files/td_Copy of qa EDIT""))",Chrome 113.0.0.0,,,2023-05-12 18:33:29,2023-05-12 18:33:29,0.104s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/09-Open a file and folder,Chrome 113.0.0.0,,,2023-05-12 18:33:29,2023-05-12 18:33:33,3.566s,FAILED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:30,2023-05-12 18:33:33,3.018s,PASSED
"rightClick(findTestObject(""11-Cloud Files/td_qa EDIT""))",Chrome 113.0.0.0,,,2023-05-12 18:33:33,2023-05-12 18:33:33,0.104s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/10-Share a file,Chrome 113.0.0.0,,,2023-05-12 18:33:33,2023-05-12 18:33:33,0.505s,FAILED
"click(findTestObject(""11-Cloud Files/button_clearNotif""))",Chrome 113.0.0.0,,,2023-05-12 18:33:33,2023-05-12 18:33:33,0.110s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/11-Share a file - Edit,Chrome 113.0.0.0,,,2023-05-12 18:33:33,2023-05-12 18:33:34,0.585s,FAILED
"rightClick(findTestObject(""11-Cloud Files/td_qa EditPeople""))",Chrome 113.0.0.0,,,2023-05-12 18:33:34,2023-05-12 18:33:34,0.106s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/12-Share a folder,Chrome 113.0.0.0,,,2023-05-12 18:33:34,2023-05-12 18:33:34,0.502s,FAILED
"rightClick(findTestObject(""11-Cloud Files/td_Automation folder EDIT""))",Chrome 113.0.0.0,,,2023-05-12 18:33:34,2023-05-12 18:33:34,0.114s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/13-Share a folder - Edit,Chrome 113.0.0.0,,,2023-05-12 18:33:34,2023-05-12 18:33:38,3.541s,FAILED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:35,2023-05-12 18:33:38,3.012s,PASSED
"rightClick(findTestObject(""11-Cloud Files/td_Automation folder EDIT""))",Chrome 113.0.0.0,,,2023-05-12 18:33:38,2023-05-12 18:33:38,0.105s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/14-Delete a file and folder,Chrome 113.0.0.0,,,2023-05-12 18:33:38,2023-05-12 18:33:39,0.545s,FAILED
"rightClick(findTestObject(""11-Cloud Files/td_Automation folder EDIT""))",Chrome 113.0.0.0,,,2023-05-12 18:33:38,2023-05-12 18:33:39,0.104s,FAILED
