Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
02-Side Icons,Chrome 114.0.0.0,,,2023-07-12 14:35:44,2023-07-12 14:38:30,2m - 46.451s,PASSED
,,,,,,,
Test Cases/02-Side Icons (Organization)/01- (Add Contact),Chrome 114.0.0.0,Navigates on Add Contact Page and verifies the elements.,,2023-07-12 14:35:44,2023-07-12 14:37:53,2m - 8.476s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-12 14:35:45,2023-07-12 14:35:50,5.696s,PASSED
navigateToUrl(app_url_login),Chrome 114.0.0.0,,,2023-07-12 14:35:50,2023-07-12 14:36:04,13.800s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-12 14:36:04,2023-07-12 14:36:52,48.005s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-12 14:36:52,2023-07-12 14:36:52,0.056s,PASSED
delay(25),Chrome 114.0.0.0,,,2023-07-12 14:36:52,2023-07-12 14:37:17,25.009s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/Side Menu double arrow icon""))",Chrome 114.0.0.0,,,2023-07-12 14:37:17,2023-07-12 14:37:18,0.518s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-12 14:37:18,2023-07-12 14:37:20,2.012s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_My Organizations""))",Chrome 114.0.0.0,,,2023-07-12 14:37:20,2023-07-12 14:37:20,0.558s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-12 14:37:20,2023-07-12 14:37:22,2.019s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 114.0.0.0,,,2023-07-12 14:37:22,2023-07-12 14:37:23,0.419s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-12 14:37:23,2023-07-12 14:37:25,2.032s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 114.0.0.0,,,2023-07-12 14:37:25,2023-07-12 14:37:25,0.444s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-12 14:37:25,2023-07-12 14:37:28,3.010s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""))",Chrome 114.0.0.0,,,2023-07-12 14:37:28,2023-07-12 14:37:29,0.867s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-12 14:37:29,2023-07-12 14:37:32,3.011s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/User Invitation modal""))",Chrome 114.0.0.0,,,2023-07-12 14:37:32,2023-07-12 14:37:33,0.407s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-12 14:37:33,2023-07-12 14:37:35,2.006s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/Invite a single user option""))",Chrome 114.0.0.0,,,2023-07-12 14:37:35,2023-07-12 14:37:35,0.509s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/Invite New user modal""))",Chrome 114.0.0.0,,,2023-07-12 14:37:35,2023-07-12 14:37:37,1.574s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-12 14:37:37,2023-07-12 14:37:39,2.010s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Cancel""))",Chrome 114.0.0.0,,,2023-07-12 14:37:39,2023-07-12 14:37:39,0.444s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-12 14:37:39,2023-07-12 14:37:41,2.016s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""))",Chrome 114.0.0.0,,,2023-07-12 14:37:41,2023-07-12 14:37:42,0.434s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-12 14:37:42,2023-07-12 14:37:45,3.005s,PASSED
